What I need ,Price,how much I need,subtotal,Link
Foam Board,1.25 but covered,0 - covered,0 covered,https://www.dollartree.com/readi-board-white-foam-boards/809955
Reciever and Transmitter,49,1,49,https://www.amazon.com/Flysky-Transmitter-Controller-Helicopter-Quadcopter/dp/B07CWBQ2HM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ds6mC1TVy-_dxnrA3BmZcP5ZWjjK8mKvp5u_8QzkrXgGZCSghHDTp6Udv6QODkUlUBwwqE24wZqHTwuGmjMC2irbucmMBN_RwmtZWRHcZZ79oK8J5Rv5nEmHnD6l_5pkSp4DkktvJoiSGYfOw1VYMCVYHNUeZ_ZJ2FqGzvYKJn1sUxAGoswS3iXvkUbNylxMG45_Ikvqq74NeX5aJ9R_I-ix3YSWStBupA6aesdd0fZB1erUEbR5R45wd_mTq3-cRmmhWeWuRYB0ZBZnfPcl84hgs0gMvUizpw3148SPho4.IBR-XZ-slo-QKbHaT4BgwE6TXwv-QAqc04pyOv-YDVA&dib_tag=se&keywords=Flysky+FS-i6X+6CH+Transmitter+%2B+Receiver&qid=1765038501&sr=8-7
Motor,13.99,1,13.99,https://www.amazon.com/PUSLAKO-2212-1400KV-Multi-Copter-Quadcopter/dp/B0CLNJLKPD/ref=sr_1_1_sspa?crid=2CJMSZ3Y12SB1&dib=eyJ2IjoiMSJ9.xPGdnPRVBx0Do1MVm8RukW1otw7ZWRonZ8zS85H-xzr57PI6uFbJwzeFKo9U41d9kopLpAAzdv0URQVnqEOqTb5qb4b9ThcTfMDQFlxygWuALGnWASIq2-wG_UluYJ-oD5kTQdEPJGAsYI5hAoKUrc9FB5XrOuZWjHFvLaEThi3rg71M3AYkPMSqK4p8VlpPEOXeX_b5-jXXNPtogpIpTjMSRWwdW-2YKbXAEflItReAmVWE3zktp6qwBVxkazoi8keHqXSO97QNrgsdBb0dvEIsMDpQumq421CBt6yZXh0.eTd7Td1DeQknXq5lwLvf6XtkJgE3pNON6c8Kl_g3d4I&dib_tag=se&keywords=brushless%2Bmotor%2Bfor%2Brc%2Bplane&qid=1765038612&sprefix=brushless%2Bmotor%2Bfor%2Brc%2Bplne%2Caps%2C249&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
ESC,12,1,12,https://www.amazon.com/Brushless-Controller-Airplanes-Multi-axis-Helicopter/dp/B0CN317H74/ref=sr_1_12?crid=FK1FVLK9BWEB&dib=eyJ2IjoiMSJ9.LqeM8BIRkVVgKB_WwBxsJC6d5xbV0dmOHNVKsTJqpZkO-co5cydFqfPk8LhgqXao9fULY78CsZAKnn44oFNoeJD94PZWFcO9AXXTjFJbIYQu32fEVswij9HrWiWrJ4fTUsYCQLaz0_siSUBAWd33v4VCw-xZxAqzpW5p3a_Ro5fzW08YzIlDBucGFo6tUr0glmdTb-13l342k3Xr7-3MfTehpqn6aTxGEE-oTw9T9EZyJpb6oikF5VWbxwrQzy2UvC6pKH7dm8wh5ari4JBluujy0bALf8MqIZEzWJq5UxU.IFwDpX8tWgBm2eUCRTqOuj1NZUB0GYYx12RW5fu0b4k&dib_tag=se&keywords=Hobbywing+SkyWalker+40A+Brushless+ESC&qid=1765038684&sprefix=hobbywing+skywalker+40a+brushless+esc%2Caps%2C234&sr=8-12
Battery ,16.92,1,16.92,https://www.amazon.com/OVONIC-Connector-Airplane-Helicopter-Quadcopter/dp/B07L6BVRDG/ref=sr_1_19_sspa?crid=O1EREU64HAFR&dib=eyJ2IjoiMSJ9.NIiXTs8Sn5aEGsbAQigFciIkefyyVQPcCyOWsxEOOLcZGN_i2BDekUgMc9ADfMd4R-38Pd-IGM4n6PZ3jBRE6G0zAA4V-FAwNqjDbWbKXcg2CATEudryh1qJzh91I4gAgo8g8ZTonV8SeOA7-BrZje4mcy07P8zS9ZCPUHFFNhxucvNaN0R-hWoQ8vLc9RrFbNsBfPU-8Ks5PHA7D4GsFpgRKxyzcbHAG1Yj6mxE-fJUmCX2C8G62h3jSJyJ7_WAkV0TmHAS8kkP2FXYX98aQ4ZNdIStqpOYeVel0J3adqY.HFG9SgM6O2vpKhtWDqpaUGAGS90tSz_HSh-2iMqk9ts&dib_tag=se&keywords=lipo+battery&qid=1765038743&sprefix=lipo+battery%2Caps%2C253&sr=8-19-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
Battery Charger,20,1,20,https://www.amazon.com/OVONIC-Dual-Battery-Charger-Batteries/dp/B0CR339PFP/ref=sr_1_12?crid=YGH3LHPT3UB3&dib=eyJ2IjoiMSJ9.QPJiEnD6bVW-6gqMQSl7PfPwPib-3F6DxMwrhRm1fdKzsMJeXbKoMm7PO_XPh1WgzvRXKw4mjJPLkv-J6qqiPzQzwrdahrLJOA6takYDurxnXRTI4m3wgkf9C1bErWPx18y8I3eBOuerSHb7keDqn45AYgRDQZHqF_oebU3ZCSu1O71XcRJ5imPrKW5-f5vNGOJLLkMEsgmm6R0fI_-qhEqIhdBDLPC6OSVrG8g8V0PFTzTGkhvGGXE5yxzoCOpEntLX9_7OdqKzdVrONRFicJDAntdP17SHVwFh8zzU-lU.UtpsS3tKn2QhC8VbJIiUGYMCSkanySIHunxW96PxVy0&dib_tag=se&keywords=lipo+battery+charger&qid=1764993507&sprefix=lipo+battery+charger%2Caps%2C217&sr=8-12
servos,14,2,14,https://www.amazon.com/Micro-Servos-Helicopter-Airplane-Controls/dp/B07MLR1498?th=1
PCB,37,1,37,
Propellor,3,2,7,https://www.apcprop.com/product/9x6e/?v=7516fd43adaa
Wheels,8.99,1,8.99,"amazon.com/MECCANIXITY-Airplane-Wheels-Aircraft-Replacement/dp/B0DGLFQWJL/ref=sr_1_3_sspa?dib=eyJ2IjoiMSJ9.rPE9abqxl_zII_VNEm89PWRRgoRs4nHBAaLYN-wFB4L_lJafDTh9V7_Y5me045jyR3KWWnboKrQvYOpKzd7nKsN2iC9I0gZJtH6F79xQd0rdPi4KvqnOwm6NGgFhWNNy2U2mjkgi4PjYTqgUZ43FmT-9Cdaq6zGcH8M1bNdAtWTPW2FYnxg2eGAtTd-kpankruUsJUFznMZuJmYtfUE4z0qXzxyXYp7d4d7-iFb7xuEA7GcYBQ4FPXZy4UnG98Jsuvz6PkJXS1Kh98cxPTcmV8aeIQ5ClNb_kjrgEsx15IY.IsrEwO_harkICN2xBLWYW_foC-Kf4Lp4mgDNWqIw3jU&dib_tag=se&keywords=rc+plane+wheels&qid=1764993666&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"
